release_id,estimation_period,frame_vintage,universe,geography_level,geography_id,concept,estimand,estimate,unit,weighted_numerator,weighted_denominator,coverage,design_id,weight_semantics,uncertainty_status
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,26,poverty,fgt2,0.15452539729273726,proportion,309.97794696923097,2006.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,26,indigence,fgt0,0.16115065846381924,proportion,323.2682208784214,2006.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,26,indigence,fgt1,0.10282012568386936,proportion,206.25717212184193,2006.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,26,indigence,fgt2,0.0861856602207727,proportion,172.88843440287005,2006.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,30,poverty,fgt0,0.4730161206093295,proportion,2007.007399745385,4243.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,30,poverty,fgt1,0.2556814515343487,proportion,1084.8563988602414,4243.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,30,poverty,fgt2,0.1872726187577105,proportion,794.5977213889657,4243.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,30,indigence,fgt0,0.22127366930637843,proportion,938.8641788669637,4243.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,30,indigence,fgt1,0.14206073228303337,proportion,602.7636870769106,4243.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,30,indigence,fgt2,0.11907182142647009,proportion,505.22173831251257,4243.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,34,poverty,fgt0,0.5665518752660484,proportion,1002.2302673456397,1769.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,34,poverty,fgt1,0.33881784859312736,proportion,599.3687741612423,1769.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,34,poverty,fgt2,0.2614208823166266,proportion,462.4535408181124,1769.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,34,indigence,fgt0,0.32579704789214065,proportion,576.3349777211968,1769.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,34,indigence,fgt1,0.21627185532148718,proportion,382.5849120637108,1769.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,34,indigence,fgt2,0.1826821550336597,proportion,323.164732254544,1769.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,38,poverty,fgt0,0.4670990740173549,proportion,1004.7301082113304,2151.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,38,poverty,fgt1,0.25598401534843285,proportion,550.621617014479,2151.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
